gene,alias
EFNB1,CFND|CFNS|EFB1|EFL3|EPLG2|Elk-L|LERK2
EFNB2,EPLG5|HTKL|Htk-L|LERK5
EFNB3,EFL6|EPLG8|LERK8
EFR3B,KIAA0953
EFS,CAS3|CASS3|EFS1|EFS2|HEFS|SIN
EFTUD2,MFDGA|MFDM|SNRNP116|Snrp116|Snu114|U5-116KD
EGF,HOMG4|URG
EGFEM1P,C3orf50|NCRNA00259
EGFL6,MAEG|W80
EGFL7,NEU1|VE-STATIN|ZNEU1
EGFL8,C6orf8|NG3
EGFLAM,AGRINL|AGRNL|PIKA
EGFLAM-AS3,tbp1
EGFR,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA
EGI,EIG|EIG1
EGLN1,C1orf12|ECYT3|HALAH|HIF-PH2|HIFPH2|HPH-2|HPH2|PHD2|SM20|ZMYND6
EGLN2,EIT6|HIF-PH1|HIFPH1|HPH-1|HPH-3|PHD1
EGLN3,HIFP4H3|HIFPH3|PHD3
EGOT,EGO|NCRNA00190
EGR1,AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225
EGR2,AT591|CMT1D|CMT4E|KROX20
EGR3,EGR-3|PILOT
EGR4,NGFI-C|NGFIC|PAT133
EHBP1,HPC12|NACSIN
EHD1,H-PAST|HPAST1|PAST|PAST1
EHD2,PAST2
EHD3,PAST3
EHD4,PAST4
EHF,ESE3|ESE3B|ESEJ
EHHADH,ECHD|FRTS3|L-PBE|LBFP|LBP|PBFE
EHMT1,EHMT1-IT1|EUHMTASE1|Eu-HMTase1|FP13812|GLP|GLP1|KLEFS1|KMT1D
EHMT2,BAT8|C6orf30|G9A|GAT8|KMT1C|NG36
EI24,EPG4|PIG8|TP53I8
EID1,C15orf3|CRI1|EID-1|IRO45620|PNAS-22|PTD014|RBP21
EID2,CRI2|EID-2
EID2B,EID-2B|EID-3
EID3,NS4EB|NSE4B|NSMCE4B
EIF1,A121|EIF-1|EIF1A|ISO1|SUI1
EIF1AD,haponin
EIF1AX,EIF1A|EIF1AP1|EIF4C|eIF-1A|eIF-4C
EIF1AXP1,EIF1AP1
EIF1AY,eIF-4C
EIF1B,GC20
EIF2A,CDA02|EIF-2A|MST089|MSTP004|MSTP089
EIF2AK1,HCR|HRI
EIF2AK2,EIF2AK1|PKR|PPP1R83|PRKR
EIF2AK3,PEK|PERK|WRS
EIF2AK4,GCN2|PVOD2
EIF2B1,EIF2B|EIF2BA
EIF2B2,EIF-2Bbeta|EIF2B
EIF2B3,EIF-2B|EIF2Bgamma
EIF2B4,EIF-2B|EIF2B|EIF2Bdelta
EIF2B5,CACH|CLE|EIF-2B|EIF2Bepsilon|LVWM
EIF2D,HCA56|LGTN
EIF2S1,EIF-2|EIF-2A|EIF-2alpha|EIF2|EIF2A
EIF2S2,EIF2|EIF2B|EIF2beta|PPP1R67|eIF-2-beta
EIF2S2P1,EIF2S2P
EIF2S2P2,bcm2636
EIF2S3,EIF2|EIF2G|EIF2gamma|MEHMO|MRXSBRK|eIF-2gA
EIF2S3B,EIF2S3L|eIF-2gA|eIF2gA
EIF3A,EIF3|EIF3S10|P167|TIF32|eIF3-p170|eIF3-theta|p180|p185
EIF3B,EIF3-ETA|EIF3-P110|EIF3-P116|EIF3S9|PRT1
EIF3C,EIF3CL|EIF3S8|eIF3-p110
EIF3D,EIF3S7|eIF3-p66|eIF3-zeta
EIF3E,EIF3-P48|EIF3S6|INT6|eIF3-p46
EIF3EP1,EIF3EP|EIF3S6P1|INT6P1
EIF3F,EIF3S5|eIF3-p47
EIF3FP1,EIF3FP|EIF3S5P
EIF3FP2,IFP38
EIF3G,EIF3-P42|EIF3S4|eIF3-delta|eIF3-p44
EIF3H,EIF3S3|eIF3-gamma|eIF3-p40
EIF3I,EIF3S2|PRO2242|TRIP-1|TRIP1|eIF3-beta|eIF3-p36
EIF3IP1,RG208K23
EIF3J,EIF3S1|eIF3-alpha|eIF3-p35
EIF3K,ARG134|EIF3-p28|EIF3S12|HSPC029|M9|MSTP001|PLAC-24|PLAC24|PRO1474|PTD001
EIF3L,EIF3EIP|EIF3S11|EIF3S6IP|HSPC021|HSPC025|MSTP005
EIF3LP1,EIF3EIPP1|EIF3S6IPP
EIF3LP2,EIF3EIPP2|EIF3S6IPP2
EIF3M,B5|GA17|PCID1|TANGO7|hfl-B5
EIF4A1,DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I
EIF4A1P1,EIF4A1P
EIF4A2,BM-010|DDX2B|EIF4A|EIF4F|eIF-4A-II|eIF4A-II
EIF4A3,DDX48|Fal1|MUK34|NMP265|NUK34|RCPS|eIF4AIII
EIF4B,EIF-4B|PRO1843
EIF4BP1,EIF4BP
EIF4E,AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E
EIF4E2,4E-LP|4EHP|EIF4EL3|IF4e|h4EHP
EIF4E2P1,EIF4EL4|dJ1049G11.3
EIF4E3,eIF-4E3|eIF4E-3
EIF4EBP1,4E-BP1|4EBP1|BP-1|PHAS-I
EIF4EBP1P1,EIF4EBP1P
EIF4EBP2,4EBP2|PHASII
EIF4EBP2P1,EIF4EBP2P|dJ862K6.3
EIF4EBP3,4E-BP3|4EBP3
EIF4ENIF1,4E-T|Clast4
EIF4EP1,EIF4EL2|dJ1022P6.3
EIF4G1,EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18
EIF4G2,AAG1|DAP5|NAT1|P97
EIF4G3,eIF-4G 3|eIF4G 3|eIF4GII
EIF4H,WBSCR1|WSCR1|eIF-4H
EIF5,EIF-5|EIF-5A
EIF5A,EIF-5A|EIF5A1|eIF5AI
EIF5A2,EIF-5A2|eIF5AII
EIF5AL1,EIF5AP1|bA342M3.3
EIF5AP4,EIF5AL3
EIF5B,IF2
EIF6,CAB|EIF3A|ITGB4BP|b(2)gcn|eIF-6|p27(BBP)|p27BBP
EIG2,EGI14
EIPR1,EIPR-1|TSSC1
EIPR1-IT1,TSSC1-IT1
EJM2,EIG7|JME
ELAC1,D29
ELAC2,COXPD17|ELC2|HPC2
ELANE,ELA2|GE|HLE|HNE|NE|PMN-E|SCN1
ELAVL1,ELAV1|HUR|Hua|MelG
ELAVL2,HEL-N1|HELN1|HUB
ELAVL3,HUC|HUCL|PLE21
ELAVL4,HUD|PNEM
ELDR,Fabl|LINC01156
ELF1,EFTUD1|RIA1
ELF2,"EU32|NERF|NERF-1A|NERF-1B|NERF-1a,b|NERF-2"
ELF3,EPR-1|ERT|ESE-1|ESX
ELF4,ELFR|MEF
ELF5,ESE2
ELFN1,PPP1R28
ELFN1-AS1,MYCLo-2
ELFN2,LRRC62|PPP1R29
ELK2AP,ELK2|ELK2.1|ELK2P1
ELK2BP,ELK2.2|ELK2P2
ELK3,ERP|NET|SAP-2|SAP2
ELK4,SAP1
ELL,C19orf17|ELL1|MEN|PPP1R68
ELL2,MRCCAT1
ELMO1,CED-12|CED12|ELMO-1
ELMO2,CED-12|CED12|Ced-12A|ELMO-2|VMPI
ELMO3,CED-12|CED12|ELMO-3
ELMOD2,9830169G11Rik
ELMOD3,DFNB88|LST3|RBED1|RBM29
ELMSAN1,C14orf117|C14orf43|LSR68|MIDEAS|c14_5541
ELN,ADCL1|SVAS|WBS|WS
ELN-AS1,CTB-51J22.1
ELOA,SIII|SIII p110|TCEB3|TCEB3A
ELOA-AS1,TCEB3-AS1
ELOA2,HsT832|TCEB3B|TCEB3L
ELOA3,ELOA3A|HsT829|TCEB3C|TCEB3L2
ELOA3B,ELOA3L1|EloA3C|HsT828|TCEB3CL|eloA3-like-1
ELOA3D,ELOA3L2|TCEB3CL2
ELOB,SIII|TCEB2
ELOBP1,TCEB2P1
ELOBP2,TCEB2P2
ELOBP3,TCEB2P3
ELOBP4,TCEB2P4
ELOC,SIII|TCEB1
ELOCP10,TCEB1P10
ELOCP11,TCEB1P11
ELOCP12,TCEB1P12
ELOCP13,TCEB1P13
ELOCP14,TCEB1P14
ELOCP15,TCEB1P15
ELOCP16,TCEB1P16
ELOCP17,TCEB1P17
ELOCP18,TCEB1P18
ELOCP19,TCEB1P19
ELOCP2,TCEB1P2
ELOCP20,TCEB1P20
ELOCP21,TCEB1P21
ELOCP22,TCEB1P22
ELOCP23,TCEB1P23
ELOCP24,TCEB1P24|TCEB1P25
ELOCP26,TCEB1P26
ELOCP27,TCEB1P27
ELOCP28,TCEB1P28
ELOCP29,TCEB1P29
ELOCP3,TCEB1P3|dJ254P11.1
ELOCP30,TCEB1P30
ELOCP31,TCEB1P31
ELOCP32,TCEB1P32
ELOCP33,TCEB1P33
ELOCP34,TCEB1P34
ELOCP35,TCEB1P35
ELOCP4,TCEB1P4
ELOCP5,TCEB1P5
ELOCP6,TCEB1P6
ELOCP7,TCEB1P7
ELOCP8,TCEB1P8
ELOCP9,TCEB1P9
ELOF1,ELF1
ELOVL1,CGI-88|Ssc1
ELOVL2,SSC2
ELOVL3,CIG-30|CIG30
ELOVL4,ADMD|CT118|ISQMR|SCA34|STGD2|STGD3
ELOVL5,HELO1|SCA38|dJ483K16.1
ELOVL6,FACE|FAE|LCE
ELP1,DYS|FD|IKAP|IKBKAP|IKI3|TOT1
ELP2,MRT58|SHINC-2|STATIP1|StIP
ELP3,KAT9
ELP4,AN|AN2|C11orf19|PAX6NEB|PAXNEB|dJ68P15A.1|hELP4
ELP5,C17orf81|DERP6|HSPC002|MST071|MSTP071
ELP6,C3orf75|TMEM103
ELSPBP1,E12|EDDM12|EL149|HE12
EMB,GP70
EMC1,CAVIPMR|KIAA0090
EMC10,C19orf63|HSM1|HSS1
EMC2,KIAA0103|TTC35
EMC3,POB|TMEM111
EMC4,PIG17|TMEM85
EMC6,TMEM93
EMC7,C11orf3|C15orf24|HT022|ORF1-FL1
EMC8,C16orf2|C16orf4|COX4NB|FAM158B|NOC4
EMC9,C14orf122|CGI-112|FAM158A
EMCN,EMCN2|MUC14
EMD,EDMD|LEMD5|STA
EME1,MMS4L|SLX2A
EME2,SLX2B|gs125
EMG1,C2F|Grcc2f|NEP1
EMID1,EMI5|EMU1
EMILIN1,EMI|EMILIN|gp115
EMILIN2,EMILIN-2|FOAP-10
EMILIN3,C20orf130|EMILIN5|dJ620E11.4
EML1,BH|ELP79|EMAP|EMAPL|HuEMAP
EML2,ELP70|EMAP-2|EMAP2
EML2-AS1,C19orf83
EML3,ELP95
EML4,C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120
EML5,EMAP-2
EMP1,CL-20|EMP-1|TMP
EMP2,XMP
EMP3,YMP
EMSY,C11orf30|GL002
EMX2OS,EMX2-AS1|NCRNA00045
ENAH,ENA|MENA|NDPP1
ENAM,ADAI|AI1C|AIH2
ENC1,CCL28|ENC-1|KLHL35|KLHL37|NRPB|PIG10|TP53I10
ENDOU,P11|PP11|PRSS26
ENG,END|HHT1|ORW1
ENHO,C9orf165|UNQ470
ENKD1,C16orf48|DAKV6410
ENKUR,C10orf63|CFAP106
ENO1,ENO1L1|HEL-S-17|MPB1|NNE|PPH
ENO1P1,ENO1P
ENO2,HEL-S-279|NSE
ENO3,GSD13|MSE
ENO4,C10orf134
ENOPH1,E1|MASA|MST145|mtnC
ENOSF1,RTS|TYMSAS
ENOX1,CNOX|PIG38|bA64J21.1|cCNOX
ENOX2,APK1|COVA1|tNOX
ENPEP,APA|CD249|gp160
ENPP1,ARHR2|COLED|M6S1|NPP1|NPPS|PC-1|PCA1|PDNP1
ENPP2,ATX|ATX-X|AUTOTAXIN|LysoPLD|NPP2|PD-IALPHA|PDNP2
ENPP3,B10|CD203c|NPP3|PD-IBETA|PDNP3
ENPP4,NPP4
ENPP5,NPP-5|NPP5
ENPP6,NPP6
ENPP7,ALK-SMase|E-NPP 7|NPP-7|NPP7
ENPP7P13,DUNQU1
ENSA,ARPP-19e
ENSAP1,ENSAP|dJ822J19.1
ENTHD1,CACNA1I|dJ370M22.3
ENTPD1,ATPDase|CD39|NTPDase-1|SPG64
ENTPD2,CD39L1|NTPDase-2
ENTPD3,CD39L3|HB6|NTPDase-3
ENTPD4,LALP70|LAP70|LYSAL1|NTPDase-4|UDPase
ENTPD5,CD39L4|NTPDase-5|PCPH
ENTPD6,CD39L2|IL-6SAG|IL6ST2|NTPDase-6|dJ738P15.3
ENTPD7,LALP1
ENTPD8,E-NTPDase|GLSR2492|NTPDase-8|UNQ2492
ENY2,DC6|Sus1|e(y)2
EOE1,EE
EOGT,AER61|AOS4|C3orf64|EOGT1
EOMES,TBR2
EP300,KAT3B|RSTS2|p300
EP400,CAGH32|P400|TNRC12
EP400P1,EP400NL
EPAS1,ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73
EPB41,4.1R|EL1|HE
EPB41L1,4.1N|MRD11
EPB41L2,4.1-G|4.1G
EPB41L3,4.1B|DAL-1|DAL1
EPB41L4A,EPB41L4|NBL4
EPB41L4A-AS1,C5orf26|NCRNA00219|TIGA1
EPB41L4B,CG1|EHM2
EPB41L5,BE37|YMO1|YRT
EPB42,PA|SPH5
EPC1,Epl1
EPC2,EPC-LIKE
EPCAM,DIAR5|EGP-2|EGP314|EGP40|ESA|HNPCC8|KS1/4|KSA|M4S1|MIC18|MK-1|TACSTD1|TROP1
EPDR1,EPDR|MERP-1|MERP1|UCC1
EPG5,HEEW1|KIAA1632|VICIS
EPGN,ALGV3072|EPG|PRO9904
EPHA1,EPH|EPHT|EPHT1
EPHA2,ARCC2|CTPA|CTPP1|CTRCT6|ECK
EPHA3,EK4|ETK|ETK1|HEK|HEK4|TYRO4
EPHA4,HEK8|SEK|TYRO1
EPHA5,CEK7|EHK-1|EHK1|EK7|HEK7|TYRO4
EPHA6,EHK-2|EHK2|EK12|EPA6|HEK12|PRO57066
EPHA7,EHK-3|EHK3|EK11|HEK11
EPHA8,EEK|EK3|HEK3
EPHB1,ELK|EPHT2|Hek6|NET
EPHB2,CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5
EPHB3,EK2|ETK2|HEK2|TYRO6
EPHB4,HFASD|HTK|MYK1|TYRO11
EPHB6,HEP
EPHX1,EPHX|EPOX|HYL1|MEH
EPHX2,CEH|SEH
EPHX3,ABHD9|EH3
EPHX4,ABHD7|EH4|EPHXRP
EPM2A,EPM2|MELF
EPN2,EHB21
EPO,EP|MVCD2
EPOP,C17orf96|PRR28
EPOR,EPO-R
EPPIN,CT71|CT72|SPINLW1|WAP7|WFDC7|dJ461P17.2
EPPIN-WFDC6,SPINLW1-WFDC6
EPPK1,EPIPL|EPIPL1
EPRS,EARS|GLUPRORS|PARS|PIG32|QARS|QPRS
EPS15,AF-1P|AF1P|MLLT5
EPS15L1,EPS15R
EPS15P1,EPS15L2|PRO1866
EPS8,DFNB102
EPS8L1,DRC3|EPS8R1|PP10566
EPS8L2,DFNB106|EPS8R2
EPS8L3,EPS8R3
EPSTI1,BRESI1
EPX,EPO|EPP|EPX-PEN|EPXD
EPYC,DSPG3|PGLB|Pg-Lb|SLRR3B
EQTN,AFAF|C9orf11|SPACA8
ERAL1,CEGA|ERA|ERA-W|ERAL1A|ERAL1B|H-ERA|HERA-A|HERA-B|PRLTS6
ERAP1,A-LAP|ALAP|APPILS|ARTS-1|ARTS1|ERAAP|ERAAP1|PILS-AP|PILSAP
ERAP2,L-RAP|LRAP
ERAS,HRAS2|HRASP
ERBB2,CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1
ERBB3,ErbB-3|HER3|LCCS2|MDA-BF-1|c-erbB-3|c-erbB3|erbB3-S|p180-ErbB3|p45-sErbB3|p85-sErbB3
ERBB4,ALS19|HER4|p180erbB4
ERBIN,ERBB2IP|HEL-S-78|LAP2
ERC1,Cast2|ELKS|ERC-1|RAB6IP2
ERC2,CAST|CAST1|ELKSL|SPBC110|Spc110
ERC2-IT1,C1orf1|C3orf51|Po42
ERCC1,COFS4|RAD10|UV20
ERCC2,COFS2|EM9|TFIIH|TTD|TTD1|XPD
ERCC3,BTF2|GTF2H|RAD25|TFIIH|TTD2|XPB
ERCC4,ERCC11|FANCQ|RAD1|XFEPS|XPF
ERCC5,COFS3|ERCC5-201|ERCM2|UVDR|XPG|XPGC
ERCC6,ARMD5|CKN2|COFS|COFS1|CSB|CSB-PGBD3|POF11|RAD26|UVSS1
ERCC6L,PICH|RAD26L
ERCC6L2,BMFS2|C9orf102|RAD26L|SR278
ERCC8,CKN1|CSA|UVSS2
EREG,EPR|ER|Ep
ERF,CHYTS|CRS4|PE-2|PE2
ERFE,C1QTNF15|CTRP15|FAM132B
ERG,erg-3|p55
ERG28,C14orf1|NET51
ERGIC1,ERGIC-32|ERGIC32|NET24
ERGIC2,CDA14|Erv41|PTX1|cd002
ERGIC3,C20orf47|C2orf47|CGI-54|Erv46|NY-BR-84|PRO0989|SDBCAG84|dJ477O4.2
ERH,DROER
ERI1,3'HEXO|HEXO|THEX1
ERI2,EXOD1|ZGRF5
ERI3,PINT1|PRNPIP
ERICD,ERIC|LINC01130|TCONS_00014875
ERICH1,HSPC319
ERICH3,C1orf173
ERICH4,C19orf69
ERICH5,C8orf47
ERICH6,C3orf44|ERICH6A|FAM194A
ERICH6B,FAM194B
ERLEC1,C2orf30|CIM|CL24936|CL25084|HEL117|XTP3-B|XTP3TPB
ERLIN1,C10orf69|Erlin-1|KE04|KEO4|SPFH1|SPG62
ERLIN2,C8orf2|Erlin-2|NET32|SPFH2|SPG18
ERLNC1,ElncRNA1|TC0101441
ERMAP,BTN5|PRO2801|RD|SC
ERMARD,C6orf70|PVNH6|dJ266L20.3
ERMN,JN|KIAA1189
ERMP1,FXNA|KIAA1815|bA207C16.3
ERN1,IRE1|IRE1P|IRE1a|hIRE1p
ERN2,IRE1-BETA|IRE1b|IRE2p|hIRE2p
ERO1A,ERO1-L|ERO1-L-alpha|ERO1-alpha|ERO1L|ERO1LA|Ero1alpha
ERO1B,ERO1LB|Ero1beta
ERP27,C12orf46|PDIA8
ERP29,C12orf8|ERp28|ERp31|HEL-S-107|PDI-DB|PDIA9
ERP29P1,ERP28P
ERP44,PDIA10|TXNDC4
ERRFI1,GENE-33|MIG-6|MIG6|RALT
ERV3-1,ERV-R|ERV3|ERVR|HERV-R|HERVR|envR
ERV3-1-ZNF117,h-PLK
ERV9-1,pTR2
ERVE-1,ERVE1|HERV-E1|HERVE1
ERVFC1-1,envF(c)2
ERVFRD-1,ERVFRDE1|GLLL6191|HERV-FRD|HERV-W/FRD|UNQ6191|envFRD
ERVH-2,HERV-HX
ERVH-3,HERV-H/F
ERVH-4,HERV-HD1|HSU88895
ERVH48-1,C21orf105|NDUFV3-AS1
ERVK-1,c1_A
ERVK-10,PR|Protease|Proteinase
ERVK-11,N8.4|c3_E|polymerase
ERVK-13,c3_D
ERVK-14,c7_B
ERVK-15,P1.10|c7_C
ERVK-16,M3.8|c10_A
ERVK-18,HERV-K18|PR|Protease|Proteinase|c1_C|env
ERVK-19,HERV-K(C19)|P1.8|PR|Protease|Proteinase|envK3|polymerase
ERVK-2,c3_A
ERVK-20,c11_B|env
ERVK-21,Endo-Rev2|PR|Protease|Proteinase|c12_A|envK1
ERVK-22,c19_A
ERVK-23,c21_A
ERVK-24,HERV-K101|PR|Protease|Proteinase|c22_A
ERVK-25,PR|Protease|Proteinase|c11_A
ERVK-3,c3_B
ERVK-32,HERV-K109|env|envK4
ERVK-4,ERVK4|HERV-K(I)|HERV-KI
ERVK-5,ERVK5|HERV-K(II)|HERV-KII
ERVK-6,ERVK6|HERV-K(C7)|HERV-K108|K-Rev|c-orf|cORF|envK2
ERVK-7,ERVK7|HERV-K(III)|HERV-K102|HERV-KIII|PR|Protease|Proteinase
ERVK-8,ERVK8|HERV-K115|PR|Protease|Proteinase|envK6
ERVK-9,PR|Protease|Proteinase|polymerase
ERVK3-2,HML6-c14|PP3227
ERVK3-3,HML6-c5
ERVK3-4,HML6-c11
ERVK3-5,HML6-c12
ERVK3-6,HML6-c19A
ERVK3-7,HML6-c19B
ERVMER34-1,HEMO|envMER34
ERVMER61-1,C1orf99
ERVPABLB-1,envR(b)
ERVS71-1,envT
ERVS71-2,HERV-HC2
ERVV-1,ENVV1|HERV-V1
ERVV-2,ENVV2|HERV-V2
ERVW-1,ENV|ENVW|ERVWE1|HERV-7q|HERV-W-ENV|HERV7Q|HERVW|HERVWENV
ERVW-2,ERVWE2|NTrenv
ERVW-3,CL4
ERVW-4,C187-23|pol
ERVW-5,CL2
ESAM,W117m
ESCO1,A930014I12Rik|CTF|ECO1|EFO1|ESO1
ESCO2,2410004I17Rik|EFO2|RBS
ESD,FGH
ESF1,ABTAP|C20orf6|HDCMC28P|bA526K24.1
ESM1,endocan
ESPL1,ESP1|SEPA
ESPN,DFNB36|LP2654
ESPNP,dJ1182A14.1
ESR1,ER|ESR|ESRA|ESTRR|Era|NR3A1
ESR2,ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2
ESRG,HESRG
ESRP1,RBM35A|RMB35A
ESRP2,RBM35B
ESRRA,ERR1|ERRa|ERRalpha|ESRL1|NR3B1
ESRRAP1,ESRRAP|bA76K19.2
ESRRAP2,ESTRRA
ESRRB,DFNB35|ERR2|ERRb|ESRL2|NR3B2
ESRRG,ERR3|ERRgamma|NR3B3
ESS2,DGCR13|DGCR14|DGS-H|DGS-I|DGSH|DGSI|ES2|ESS-2|Es2el|bis1
ESX1,ESX1L|ESXR1
ESYT1,FAM62A|MBC2
ESYT2,CHR2SYT|E-Syt2|FAM62B
ESYT3,CHR3SYT|E-Syt3|FAM62C
ETAA1,ETAA16
ETDB,LINC00633
ETF1,D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1
ETF1P1,HCGVII|SUP45L2
ETF1P2,SUP45L3
ETF1P3,SUP45L4
ETFA,EMA|GA2|MADD
ETFB,FP585|MADD
ETFBKMT,C12orf72|ETFB-KMT|METTL20
ETFDH,ETFQO|MADD
ETFRF1,LYRM5
ETHE1,HSCO|YF13H12
ETL2,FTLE
ETL4,EPOLM|ETOLM
ETM2,ETM
ETNK1,EKI|EKI 1|EKI1|Nbla10396
ETNK2,EKI2|HMFT1716
ETNPPL,AGXT2L1
ETS1,ETS-1|EWSR2|c-ets-1|p54
ETS2,ETS2IT1
ETV1,ER81
ETV2,ER71|ETSRP71
ETV3,METS|PE-1|PE1
ETV4,E1A-F|E1AF|PEA3|PEAS3
ETV5,ERM
ETV6,TEL|TEL/ABL|THC5
ETV7,TEL-2|TEL2|TELB
EVA1A,FAM176A|TMEM166
EVA1B,C1orf78|FAM176B
EVA1C,B18|B19|C21orf63|C21orf64|FAM176C|PRED34|SUE21
EVC,DWF-1|EVC1|EVCL
EVC2,LBN|WAD
EVI2A,EVDA|EVI-2A|EVI2
EVI2B,CD361|D17S376|EVDB
EVI5,EVI-5|NB4S
EVL,RNB6
EVPL,EVPK
EVX1,EVX-1
EVX1-AS,EVX1-AS1
EVX2,EVX-2
EWSAT1,LINC00277|NCRNA00277|TMEM84
EWSR1,EWS|EWS-FLI1|bK984G1.4
EXD1,EXDL1
EXD2,C14orf114|EXDL2
EXD3,mut-7
EXO1,HEX1|hExoI
EXO5,C1orf176|DEM1|Exo V|hExo5
EXOC1,BM-102|SEC3|SEC3L1|SEC3P
EXOC2,SEC5|SEC5L1|Sec5p
EXOC3,SEC6|SEC6L1|Sec6p
EXOC3-AS1,C5orf55
EXOC3L1,EXOC3L
EXOC3L2,XTP7
EXOC3L4,C14orf73
EXOC4,SEC8|SEC8L1|Sec8p
EXOC5,HSEC10|PRO1912|SEC10|SEC10L1|SEC10P
EXOC6,EXOC6A|SEC15|SEC15L|SEC15L1|SEC15L3|Sec15p
EXOC6B,SEC15B|SEC15L2
EXOC7,2-5-3p|BLOM4|EX070|EXO70|EXOC1|Exo70p|YJL085W
EXOC8,EXO84|Exo84p|SEC84
EXOG,ENDOGL1|ENDOGL2|ENGL|ENGL-a|ENGL-b|ENGLA|ENGLB
EXOSC1,CGI-108|CSL4|Csl4p|SKI4|Ski4p|p13
EXOSC10,PM-Scl|PM/Scl-100|PMSCL|PMSCL2|RRP6|Rrp6p|p2|p3|p4
EXOSC2,RRP4|Rrp4p|SHRF|hRrp4p|p7
EXOSC3,CGI-102|PCH1B|RRP40|Rrp40p|bA3J10.7|hRrp-40|p10
EXOSC4,RRP41|RRP41A|Rrp41p|SKI6|Ski6p|hRrp41p|p12A
EXOSC5,RRP41B|RRP46|Rrp46p|hRrp46p|p12B
EXOSC6,EAP4|MTR3|Mtr3p|hMtr3p|p11
EXOSC7,EAP1|RRP42|Rrp42p|hRrp42p|p8
EXOSC8,CIP3|EAP2|OIP2|PCH1C|RRP43|Rrp43p|bA421P11.3|p9
EXOSC9,PM/Scl-75|PMSCL1|RRP45|Rrp45p|p5|p6
EXPH5,SLAC2-B|SLAC2B
EXT1,EXT|LGCR|LGS|TRPS2|TTV
EXT2,SOTV|SSMS
EXT3,EXT2
EXTL1,EXTL
EXTL2,EXTR2
EXTL2P1,EXTL2P
EXTL3,BOTV|EXTL1L|EXTR1|ISDNA|REGR|RPR
EXTL3-AS1,C8orf50
EYA1,BOP|BOR|BOS1|OFC1
EYA2,EAB1
EYA4,CMD1J|DFNA10
EYCL1,GEY
EYS,C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1
EZH1,KMT6B
EZH2,ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2
EZR,CVIL|CVL|HEL-S-105|VIL2
F10,FX|FXA
F11,FXI|PTA
F11R,CD321|JAM|JAM1|JAMA|JCAM|KAT|PAM-1
F12,HAE3|HAEX|HAF
F13A1,F13A
F13B,FXIIIB
F2,PT|RPRGL2|THPH1
F2R,CF2R|HTR|PAR-1|PAR1|TR
F2RL1,GPR11|PAR2
F2RL2,PAR-3|PAR3
F2RL3,PAR4
F3,CD142|TF|TFA
F5,FVL|PCCF|RPRGL1|THPH2
F7,SPCA
F7R,F7E
F8,AHF|DXS1253E|F8B|F8C|FVIII|HEMA
F8A1,DXS522E|F8A|HAP40
F9,F9 p22|FIX|HEMB|P19|PTC|THPH8
FA2H,FAAH|FAH1|FAXDC1|SCS7|SPG35
FAAH,FAAH-1|PSAB
FAAH2,AMDD
FAAHP1,LINC00505
FAAP100,C17orf70
FAAP20,C1orf86|FP7162
FAAP24,C19orf40
FABP1,FABPL|L-FABP
FABP2,FABPI|I-FABP
FABP3,FABP11|H-FABP|M-FABP|MDGI|O-FABP
FABP3P2,FABP3-ps|FABP3P
FABP4,A-FABP|AFABP|ALBP|HEL-S-104|aP2
FABP5,E-FABP|EFABP|KFABP|PA-FABP|PAFABP
FABP5P1,FABP5|FABP5L1
FABP5P10,FABP5L10
FABP5P11,FABP5L11|FABP5P1
FABP5P12,FABP5L12
FABP5P13,FABP5L13
FABP5P14,FABP5L14
FABP5P15,FABP5L15
FABP5P2,FABP5L2
FABP5P3,FABP5L3
FABP5P4,FABP5L4
FABP5P5,FABP5L5
FABP5P6,FABP5L6
FABP5P7,FABP5L7
FABP5P8,FABP5L8
FABP5P9,FABP5L9
FABP6,I-15P|I-BABP|I-BALB|I-BAP|ILBP|ILBP3|ILLBP
FABP7,B-FABP|BLBP|FABPB|MRG
FABP9,PERF|PERF15|T-FABP|TLBP
FADD,GIG3|MORT1
FADS1,D5D|FADS6|FADSD5|LLCDL1|TU12
FADS2,D6D|DES6|FADSD6|LLCDL2|SLL0262|TU13
FADS3,CYB5RP|LLCDL3
FADS6,FP18279
FAF1,CGI-03|HFAF1s|UBXD12|UBXN3A|hFAF1
FAF2,ETEA|UBXD8|UBXN3B
FAHD1,C16orf36|YISKL
FAHD2A,CGI-105
FAHD2P1,FAHD2P
